ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,CLASS
0.12633727,0.66536635,9.379346,-0.007456851,-0.044741105,-0.017044231,0.13367203,0.6953041,9.784403,-0.0073347474,-0.029937744,-0.40505767,0.03533175,-0.007499242,-0.019144446,11476380074475,Still
0.14220428,0.66596514,9.367071,-0.008522116,-0.043675844,-0.015978966,0.13442047,0.6951544,9.784403,0.0077838134,-0.0291893,-0.41733214,0.035320114,-0.007534164,-0.019137494,11476430074475,Still
0.08996292,0.68018556,9.431737,-0.008522116,-0.043675844,-0.015978966,0.13457017,0.69470537,9.784403,-0.044607237,-0.014519806,-0.35266662,0.03529324,-0.007541475,-0.019136976,11476480074475,Still
0.14894028,0.6803352,9.40135,-0.007456851,-0.044741105,-0.017044231,0.13442047,0.69455564,9.784403,0.014519806,-0.014220429,-0.38305342,0.03529107,-0.007539578,-0.019137066,11476530074475,Still
0.11975098,0.68153274,9.322763,-0.007456851,-0.044741105,-0.018109495,0.13471985,0.69485503,9.784403,-0.014968872,-0.013322297,-0.46164,0.035302725,-0.0075553386,-0.019144848,11476580074475,Still
0.13471985,0.6743477,9.392668,-0.0063915867,-0.04580637,-0.014913702,0.13501923,0.6950047,9.784403,-2.9937745E-4,-0.020657044,-0.39173537,0.035309695,-0.0075689666,-0.019136155,11476630074475,Still
0.13142669,0.64695466,9.388476,-0.0063915867,-0.043675844,-0.018109495,0.1353186,0.69455564,9.784403,-0.0038919067,-0.047601014,-0.39592665,0.03528911,-0.0075801937,-0.019138103,11476680074475,Still
0.12573853,0.68437684,9.3663225,-0.00958738,-0.044741105,-0.017044231,0.1353186,0.6942563,9.784403,-0.009580079,-0.009879456,-0.4180806,0.035270803,-0.007578508,-0.019135538,11476730074475,Still
0.15283218,0.66177386,9.398356,-0.007456851,-0.043675844,-0.015978966,0.13546829,0.6936575,9.784403,0.017363891,-0.031883698,-0.3860472,0.0352452,-0.0075883837,-0.019131921,11476780074475,Still
0.103135526,0.68662214,9.414223,-0.007456851,-0.043675844,-0.014913702,0.13516891,0.6933582,9.784403,-0.032033388,-0.0067359926,-0.37018022,0.035224564,-0.0075719375,-0.019116737,11476830074475,Still
0.17393829,0.6863228,9.380094,-0.008522116,-0.04580637,-0.017044231,0.13576767,0.6930588,9.784403,0.038170625,-0.0067359926,-0.40430924,0.035215028,-0.007600243,-0.019134386,11476880074475,Still
0.1128653,0.6950047,9.363778,-0.007456851,-0.043675844,-0.015978966,0.13621673,0.69380724,9.784403,-0.02335144,0.0011975098,-0.4206253,0.03524884,-0.0076293126,-0.01913649,11476930074475,Still
0.13352233,0.65713346,9.399703,-0.008522116,-0.040480047,-0.015978966,0.13681549,0.6939569,9.784403,-0.003293152,-0.036823425,-0.3847,0.035259508,-0.0076544415,-0.019132763,11476980074475,Still
0.12499008,0.6791377,9.408685,-0.00958738,-0.04580637,-0.014913702,0.1366658,0.69350785,9.784403,-0.01167572,-0.014370117,-0.37571868,0.035234183,-0.007649296,-0.01913278,11477030074475,Still
0.11406281,0.6831793,9.346414,-0.008522116,-0.046871636,-0.015978966,0.13711487,0.694406,9.784403,-0.023052063,-0.011226654,-0.4379892,0.035282042,-0.0076732775,-0.019132271,11477080074475,Still
